"dataset","signal","noise","instance","K","ARI","NMI"
"dropout_nb","dropout","nb","PLit_NB",200,0.587,0.673
"dropout_nb","dropout","nb","PLit_NB",500,0.761,0.824
"dropout_nb","dropout","nb","PLit_NB",1000,0.869,0.912
"dropout_nb","dropout","nb","ReThiN_Pois",100,0.588,0.681
"dropout_nb","dropout","nb","ReThiN_Pois",200,0.876,0.913
"dropout_nb","dropout","nb","ReThiN_Pois",500,0.866,0.945
"dropout_nb","dropout","nb","ReThiN_Pois",1000,0.842,0.939
"dropout_nb","dropout","nb","ReThiN_NB",100,0,0.055
"dropout_nb","dropout","nb","ReThiN_NB",200,0,0.055
"dropout_nb","dropout","nb","ReThiN_NB",500,-0.001,0.054
"dropout_nb","dropout","nb","ReThiN_NB",1000,0,0.055
